"Number","User","Date Submitted","Country","Source URL","Device","Browser","OS","Hotjar User ID","Response URL","How would you rate your experience?","Tell us about your experience...","We may want to follow up. If you're happy to be contacted, enter your email:","Tags for: How would you rate your experience?","Tags for: Tell us about your experience...","Tags for: We may want to follow up. If you're happy to be contacted, enter your email:"
"2","f87e3175","2025-07-01 02:10:54","Brazil","https://spacex-frontend.onrender.com/","desktop","Chrome 134.0.0","Linux","f87e3175-e519-5c32-9077-ff91af0422b0","https://insights.hotjar.com/sites/6450595/surveys/responses/1648510?prid=900956641","4","cool","","","",""
"1","f87e3175","2025-07-01 02:01:35","Brazil","https://spacex-frontend.onrender.com/","desktop","Chrome 134.0.0","Linux","f87e3175-e519-5c32-9077-ff91af0422b0","https://insights.hotjar.com/sites/6450595/surveys/responses/1648510?prid=900956168","5","very good","","","",""
"3","f87e3175","2025-07-01 02:11:13","Brazil","https://spacex-frontend.onrender.com/","desktop","Chrome 134.0.0","Linux","f87e3175-e519-5c32-9077-ff91af0422b0","https://insights.hotjar.com/sites/6450595/surveys/responses/1648510?prid=900956667","5","Loved it!","","","",""
